,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
23.0,2017,7.0,0.0,477.06722222222237,513.7422222222222,489.04555555555567,372.95000000000005,352.3369230769231,578.3188888888889,356.5761538461538,491.75444444444446,699.61,456.21666666666664,578.8400000000001
23.0,2018,8.0,49364.904615384614,66963.98153846154,44698.23692307692,23051.20695652174,29643.199999999997,40155.156363636364,32249.847272727275,37366.16090909092,44383.72111111111,43584.95153846154,42742.55066666667,118160.63866666665
23.0,2019,8.0,15779.309999999998,49303.90846153846,34857.71444444445,43248.563076923085,35404.89769230769,24752.69,29345.587692307694,31619.63230769231,30754.386923076927,41581.64666666666,52278.88230769231,60983.435
23.0,2020,1.0,86592.416,79051.672,76018.74799999999,68499.684,77580.308,63793.007999999994,67900.52200000001,114719.5625,56603.07833333334,51229.07714285714,73469.70999999999,488865.445
23.0,2020,2.0,76092.812,64735.676,38235.691999999995,23849.985999999997,7571.424000000001,3407.1400000000003,3564.8,7436.2880000000005,-2965.353333333334,26793.028,40896.168000000005,216361.991
23.0,2020,3.0,530.1528571428572,658.9100000000001,549.7014285714286,534.1228571428571,276.76142857142855,518.2442857142856,479.8571428571428,446.92428571428576,122.29923076923076,426.63142857142856,530.6883333333333,3184.5460000000003
23.0,2021,5.0,82409.69,66821.09666666666,65472.03,69982.718,74542.19599999998,77998.482,65969.26200000002,72644.222,82764.122,51985.37285714286,64679.130000000005,79664.34599999999
23.0,2021,9.0,64052.512,0.0,63051.11,57116.885999999984,24849.554,4126.14,2753.8475,1821.9924999999998,1826.6274999999998,871.5899999999999,23472.814,40178.392
23.0,2021,10.0,571.935,0.0,368.2759090909091,484.977,370.835,416.0453846153847,325.3299999999999,363.1161538461538,443.505,268.21941176470585,469.33600000000007,544.64
24.0,2016,6.0,0.0,108100.93,71537.38,71537.38,34973.83,7948.6,6358.88,2415.625,4026.0400000000004,0.0,26571.88,31671.53
24.0,2016,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.785,4.405,3.535,4.29,3.2800000000000002
24.0,2017,6.0,0.0,41468.23500000001,35759.305,23246.370000000003,2415.625,1044.5533333333333,2466.635,4933.2699999999995,2466.635,14799.82,39466.185,64954.765
24.0,2017,7.0,0.0,4.29,4.035,3.535,3.785,3.2800000000000002,2.0949999999999998,12.045,4.1899999999999995,3.925,3.925,3.67
24.0,2018,8.0,26105.338571428572,27254.645714285707,25913.34285714286,19260.27,13091.207142857145,15349.32142857143,12597.275714285715,14192.935714285715,14035.654285714287,17429.057142857142,23637.92142857143,46934.59999999999
24.0,2019,8.0,19127.34857142857,28318.297142857144,17149.268571428573,20141.752857142856,16818.91,14699.74,13988.335714285715,14978.78,14674.955714285714,19316.824285714287,25407.964285714286,32550.437142857143
24.0,2020,1.0,122309.41,128002.93,125617.09,111541.68,99575.91,73004.37,73275.96,103780.07,81674.36,81075.4,31112.449999999997,638224.355
24.0,2020,2.0,58678.535,58678.535,35017.83500000001,51495.15,11357.135,0.0,0.0,0.0,0.0,25745.774999999998,6902.676666666665,190297.13499999998
24.0,2020,3.0,477.12,545.2799999999999,395.32750000000004,436.2225,136.32,817.915,478.07,365.5875,562.4399999999999,351.52500000000003,215.17700000000005,2355.967777777778
25.0,2017,5.0,0.0,0.0,0.0,0.0,0.0,4812.31,6476.26,1559.18,2293.77,4050.41,6888.72,6348.41
25.0,2017,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139460.88,233079.25
25.0,2018,8.0,3412.16,123475.395,97118.06,81275.84,35317.96,4343.06,3546.12,2734.75,2609.21,7600.525,55382.385,151729.86666666667
25.0,2019,8.0,2192.39,167151.83500000002,137300.09,108745.44,63270.345,16755.23,5119.43,1870.62,2118.4,17362.195,74958.015,196167.91666666666
25.0,2020,1.0,1397.02,1390.165,1241.375,3343.23,3010.23,3251.73,2395.645,1113.5900000000001,2048.625,3076.44,1505.65,10706.6775
25.0,2020,2.0,0.0,169280.965,139069.68,110022.155,63378.534999999996,15710.8,0.0,0.0,0.0,17340.065,72292.955,388277.88499999995
25.0,2021,5.0,1350.385,1805.84,1567.835,1397.435,1356.4899999999998,1890.2199999999998,1923.19,586.54,930.055,2061.35,0.0,0.0
25.0,2021,9.0,0.0,169280.965,139069.68,110022.155,63378.534999999996,15710.8,0.0,0.0,0.0,17703.3,0.0,0.0
26.0,2016,6.0,0.0,37243.97,31033.45,24937.6,14312.85,3840.97,0.0,0.0,0.0,2732.62,16529.52,31864.714999999997
26.0,2017,6.0,0.0,37243.97,31033.45,23742.32,0.0,5159.5,0.0,0.0,0.0,2701.63,16349.57,31513.074999999997
26.0,2018,8.0,0.0,22380.99,18644.34,14978.27,5445.54,0.0,0.0,0.0,0.0,1643.17,13286.43,21660.45
26.0,2020,1.0,0.0,212.59,0.0,134.34,0.0,0.0,0.0,93.36,0.0,0.0,0.0,440.29
26.0,2020,2.0,0.0,0.0,0.0,37667.66,7924.86,2129.28,0.0,0.0,0.0,0.0,0.0,47721.8
27.0,2018,8.0,100241.07,51986.619999999995,42825.5825,35693.5775,22171.61,-852.9033333333336,663.1033333333334,463.9066666666667,516.1466666666666,7970.242499999999,27396.2525,49640.87625
27.0,2019,8.0,0.0,58037.395000000004,48018.412500000006,40047.39000000001,24839.46,9040.0725,471.7666666666667,528.06,528.06,8636.8975,29344.960000000003,31545.151666666658
27.0,2020,2.0,235501.64,242831.41,200654.35,167098.61,103077.56,40348.05,0.0,0.0,0.0,28980.33,121310.63,765564.53
27.0,2020,3.0,665.53,525.7566666666667,525.7566666666667,525.7566666666667,525.6966666666666,525.6966666666666,525.6966666666666,594.35,594.35,594.35,594.35,3471.151666666667
28.0,2016,5.0,0.0,276550.53,218490.61666666667,321292.04,0.0,299140.20499999996,203509.79,213482.065,196521.615,444888.47,452493.5,563741.0
28.0,2016,6.0,6595.13,107168.35333333333,156258.44333333333,107949.19666666666,0.0,100958.465,0.0,0.0,0.0,21754.47,101545.095,188791.01499999998
28.0,2016,7.0,0.0,2619.1099999999997,3022.588333333333,2728.8675000000003,0.0,2837.65875,2371.6075,2354.015,1615.36625,2581.94,2911.7625000000003,3015.2000000000003
28.0,2017,5.0,320720.83,414312.11,450483.71,395032.64,394190.58,388381.69,0.0,427047.23,73138.87,-209699.18333333332,252998.45,290505.455
28.0,2017,6.0,5062.17,185197.745,176159.875,150268.88499999998,111451.395,58645.48666666667,58811.29,0.0,0.0,21181.89,225229.2,426967.80999999994
28.0,2017,7.0,2812.9666666666667,1950.98,3026.146666666666,2939.395,2878.14,2994.6975,4625.12,3617.3366666666666,296.1666666666667,2637.9519999999998,3167.3133333333335,3839.63
28.0,2018,8.0,2343.955,148752.48166666666,120754.302,108799.15666666663,41449.69615384615,54307.86875000001,24189.69,96804.96333333333,276709.82,50809.52571428572,59765.61875,197833.17
28.0,2019,8.0,225088.87,64798.37333333333,182857.43666666668,143142.046,74929.05285714286,94929.19499999999,50196.52375000001,120138.96600000001,112800.41333333333,84630.135,63393.48222222223,79011.825
28.0,2020,1.0,277608.04000000004,301454.44,0.0,249960.04,0.0,248232.03999999998,260911.98,-582.27,0.0,274795.7866666667,-267.61,817727.774
28.0,2020,2.0,623753.99,372003.78,511726.3,437592.23,208652.77,198503.85,36833.53,0.0,0.0,92802.04,154834.57,1685588.1700000002
28.0,2020,3.0,2836.65,3106.6433333333334,3377.563333333333,6726.97,1335.116,1747.9799999999998,1848.4366666666665,787.6560000000001,301.33333333333337,1296.042857142857,1019.8520000000001,8435.604000000001
28.0,2021,5.0,157698.285,294383.44,264428.53,134730.27000000002,0.0,284661.71,300379.55000000005,305877.17,-610.34,212780.71,-9143.4,366771.48
28.0,2021,9.0,508502.615,448610.71,441575.62,391445.83,291183.6,225624.06,88087.54,0.0,0.0,118459.86,235693.23,286897.57
29.0,2016,5.0,0.0,1356.38,2718.39,225.12,0.0,106.94,0.0,2636.18,3185.39,2511.69,4159.31,6810.13
29.0,2016,6.0,0.0,12885.97,15209.98,10503.05,8140.61,7541.29,0.0,0.0,0.0,1044.26,4889.07,10450.94
29.0,2017,5.0,4320.41,6151.1,4225.21,3331.84,0.0,0.0,0.0,1061.32,-309.965,-1726.1433333333334,259.6,3292.2
29.0,2017,6.0,14285.77,11897.66,11065.53,9718.24,8634.97,6224.2,3500.34,0.0,0.0,0.0,8619.14,9487.03
29.0,2018,8.0,14896.89,7675.183333333333,8209.335,6492.125,5208.97,3521.235,36.45,178.34,297.25,2599.535,585.96,8033.33
29.0,2019,8.0,6600.825,12850.14,7351.5199999999995,7172.045,5198.595,0.0,2064.755,0.0,0.0,4357.67,9145.56,14482.85
29.0,2020,2.0,26879.29,15802.79,16460.84,17465.05,5572.63,0.0,4257.635,0.0,0.0,3620.41,4364.04,57378.07
29.0,2021,9.0,6395.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2016,7.0,0.0,0.0,953.0,775.96,87.27499999999998,294.0785714285715,0.0,651.405,784.655,660.64,596.87,690.76
30.0,2017,7.0,0.0,521.01,708.895,624.465,685.48,720.885,623.04,545.97,613.615,312.54499999999996,645.77,883.1925
30.0,2018,8.0,26620.8,26770.142,33964.135,26427.915,21059.8175,15039.275,12797.509999999998,9535.973333333333,10119.033333333333,20434.68,17156.965,36400.5
30.0,2019,8.0,32920.8,33759.317500000005,27455.3525,25114.644999999997,20899.345,16767.765,5868.145,5894.135,4080.43,32134.085,26753.485,63181.333999999995
30.0,2020,1.0,8658.3,10032.0,8458.8,8555.7,8196.6,6116.1,5460.6,5490.5,0.0,0.0,0.0,60968.6
30.0,2020,2.0,0.0,199363.49,161421.78,0.0,161421.78,73717.64,0.0,0.0,0.0,0.0,0.0,669642.33
30.0,2020,3.0,140.77,115.065,119.96000000000001,0.0,0.0,684.655,671.925,0.0,0.0,0.0,0.0,1885.315
31.0,2018,8.0,0.0,29358.4,29978.63888888889,26196.388,18908.568000000003,13674.413999999999,6969.360000000001,8294.043333333333,6969.55,5967.144,19914.73,32136.018
31.0,2019,8.0,0.0,45828.0425,26767.546666666673,25266.72333333333,17804.391666666666,13350.151666666667,7614.303333333334,8912.1,8794.486666666666,9011.196666666667,18615.866666666665,30130.186666666672
31.0,2020,1.0,0.0,29070.0,33174.0,25536.0,24054.0,22002.0,25992.0,39241.44,37922.4,38581.92,39571.2,160887.68000000002
31.0,2020,2.0,0.0,183408.3,153484.12,146211.55,99179.06,66679.43,0.0,0.0,0.0,31763.76,51489.6,373617.66
31.0,2020,3.0,0.0,319.78499999999997,405.12999999999994,348.445,332.45250000000004,276.29,124.655,379.815,408.625,584.8725000000001,585.8325,1990.274545454546
31.0,2021,5.0,0.0,34862.4,32400.0,30844.8,29419.2,29289.6,31752.0,35820.72,35820.72,39443.04,32466.72,36491.520000000004
31.0,2021,9.0,222.7,210468.36,176129.15,167783.6,113811.94,76517.32,0.0,0.0,0.0,33351.97,107784.35,186575.97
31.0,2021,10.0,0.0,481.22249999999997,374.4875,371.53249999999997,379.7125,672.7950000000001,413.22,625.765,794.955,272.0725,573.8025,646.2325
32.0,2016,6.0,31200.0,57600.0,80400.0,57600.0,53400.0,0.0,0.0,0.0,21600.0,39000.0,63000.0,74400.0
32.0,2017,6.0,83400.0,93680.0,79220.0,48620.0,42500.0,26180.0,0.0,0.0,18080.0,15300.0,80240.0,109480.0
32.0,2018,8.0,33889.37333333333,19727.156666666666,64976.90666666667,131117.045,48158.335,74059.02,35474.195,17719.45,9884.675000000001,26279.100000000002,56869.613333333335,118871.455
32.0,2019,8.0,81048.53499999999,126726.28333333334,70530.61666666667,72855.14666666667,54235.579999999994,36297.51,19903.002500000002,3556.8,1487.345,22892.960000000003,63195.01333333333,50199.9275
32.0,2020,1.0,5221.2,5928.0,4936.2,4993.2,5101.5,3830.4,3060.9,4554.0,4752.72,5324.04,5456.52,27346.070000000003
32.0,2020,2.0,269811.32,232908.0,262392.0,188916.0,156000.0,125112.0,58344.0,0.0,0.0,64488.67,103276.48,793378.485
32.0,2020,3.0,0.0,8.84,21.05,35.15,11.58,8.0,25.47,0.0,1.29,4.08,0.0,62.46
33.0,2016,5.0,0.0,405104.5,0.0,0.0,0.0,0.0,0.0,359699.78,406634.89,417876.73,292120.84,320009.955
33.0,2016,6.0,0.0,182771.89,0.0,0.0,0.0,82501.49,31447.39,296857.28,0.0,0.0,235430.7,206621.165
33.0,2016,7.0,0.0,2290.665,0.0,2249.76,0.0,1963.425,1799.81,2040.625,2173.4,2048.05,2227.565,2620.665
33.0,2017,5.0,0.0,377540.21,311764.75,324597.01,307658.8,318711.96,345800.99,403414.37,-60196.13999999999,282077.58,209742.64,271709.16
33.0,2017,6.0,0.0,204274.55,191201.85,203969.4,108493.59,126460.91,52577.61,0.0,0.0,0.0,81086.53,120462.31
33.0,2017,7.0,2620.665,0.0,0.0,0.0,2358.595,2227.56,2096.53,2421.495,2743.3900000000003,11094.14,2271.24,2162.0475
33.0,2018,8.0,387977.85,124264.75,129854.185,105565.88750000001,87800.03571428571,1616.0749999999998,70216.04999999999,107632.95,83636.61,89051.31333333334,69757.3025,65225.82857142858
33.0,2019,8.0,48140.51,96771.3425,76881.945,71316.1925,72432.4575,70792.9525,71882.1925,88248.31666666665,105486.60333333333,254596.2,48521.291666666664,112698.67166666668
33.0,2020,1.0,0.0,207367.58,222733.2,215482.8,229162.8,200206.8,230114.7,421087.03,400287.42,466462.01,383378.97,1862031.7950000002
33.0,2020,2.0,0.0,91709.2,98838.98,93274.12,135491.07,78647.86,79147.0,0.0,0.0,0.0,25914.09,191461.05
33.0,2020,3.0,898.385,754.645,988.225,988.225,754.645,808.5450000000001,808.5450000000001,706.48,652.135,742.7049999999999,525.33,5002.2975
33.0,2021,5.0,301293.23,236582.04,216937.44,240654.24,278730.72,257754.96,290459.81,246190.0,366028.73,273719.93,242507.24,228722.67
33.0,2021,9.0,106016.57,124202.86,119766.46,92263.08,92554.53,77828.22,41151.07,0.0,0.0,2097.52,23578.19,55155.65
33.0,2021,10.0,867.24,978.2,905.74,923.86,1017.6,821.22,1624.585,2252.705,1426.025,950.685,764.685,785.35
34.0,2016,7.0,0.0,14889.305,13130.41,95177.3,0.0,10287.5325,70713.11333333334,7119.465,13526.98,29525.515999999996,11050.46,78603.32666666668
34.0,2017,7.0,8280.855,0.0,0.0,0.0,10487.23,10570.0,9565.415,10114.89,8952.675,9409.93,9465.395,8974.455
34.0,2020,1.0,0.0,348612.0,319963.8,365598.0,305713.8,265506.0,271639.2,338831.61,360101.05,320894.65,387876.49,2153570.5
34.0,2020,3.0,42574.887500000004,11444.400000000001,15918.119999999999,14045.400000000001,8375.220000000001,6398.46,8479.26,57646.15333333334,6886.155000000001,5550.355,10683.775000000001,140818.625
35.0,2016,6.0,87488.04,87628.9,87512.27,87628.9,87569.83,27429.0,2741.39,2621.06,2621.06,3544.11,85151.49,90781.1
35.0,2016,7.0,544.44,815.5766666666667,829.9666666666666,810.43,811.5733333333333,790.5966666666667,789.1833333333333,748.54,307.30428571428575,788.18,780.1633333333333,723.7833333333333
35.0,2017,6.0,90842.53,90110.08,89927.37,90110.08,90048.65,7579.66,1827.18,1966.05,1966.05,2926.93,81955.84,93740.65
35.0,2017,7.0,557.3,351.5133333333333,443.82666666666665,366.75333333333333,417.20666666666665,372.10666666666674,358.99333333333334,143.85999999999999,339.51666666666665,392.38000000000005,384.27333333333337,347.85666666666674
35.0,2020,1.0,84122.59,64023.99,77497.2,47984.32,61435.27,48723.78,46078.12,60503.8,59228.35,45351.09,65540.34,393545.35500000004
35.0,2020,2.0,101590.7,101590.7,101453.96,101590.7,101521.45,0.0,6907.1449999999995,2214.4,2214.4,2842.33,92308.5,416152.685
35.0,2020,3.0,524.61,499.86000000000007,532.5933333333334,507.30333333333334,425.0166666666667,506.06499999999994,469.71000000000004,516.5266666666668,432.5466666666666,735.1933333333333,518.8666666666667,3372.266666666666
35.0,2021,5.0,86429.045,71496.53,69820.7,61131.06,51555.47,49110.53,48905.09,57434.01,59884.87,58187.85,27604.865,58722.92
35.0,2021,9.0,107661.28,105654.0,105439.76,105654.0,105581.97,35437.79,2142.37,2298.54,2298.54,3571.46,95815.98,109593.8
35.0,2021,10.0,613.2116666666666,767.61,534.3633333333333,509.72333333333336,558.7466666666667,448.44,668.4866666666667,459.09666666666664,462.6166666666666,661.2966666666667,268.49,442.42333333333335
36.0,2018,8.0,73048.26,78625.785,72747.2625,64257.865,47424.06,26921.642499999998,19562.693333333336,6492.49625,20091.49,19081.483333333334,20406.733333333334,23252.466666666664
36.0,2019,8.0,3141.0,23180.876666666667,124817.22571428571,58685.832500000004,116280.36399999999,14060.772500000001,19494.69,18767.02,18700.016666666666,17019.463333333337,35417.455,106014.058
36.0,2020,1.0,75869.34,76918.02,68809.99,63719.97,59465.64,51992.45,43780.77,44529.2,44034.86,59246.38,53882.63,400154.745
36.0,2020,2.0,0.0,307875.25,141891.6,57744.92,215165.36,0.0,29804.210000000003,0.0,0.0,82503.63500000001,166686.07,823065.925
36.0,2020,3.0,410.45,434.04999999999995,458.16999999999996,458.16999999999996,530.51,482.28,482.28,1344.6,622.5,498.0,348.6,2476.226666666667
36.0,2021,5.0,66440.76000000001,74085.91,70972.89,63829.68,68148.09,53680.83,44216.11,41444.11,45410.0,52254.34,49504.92,67401.65
36.0,2021,9.0,238841.11,275498.41,224522.33,209696.29,182971.03,94830.46,0.0,0.0,0.0,0.0,73047.95,171952.14
36.0,2021,10.0,722.1,647.4,60.175000000000004,228.25,332.0,352.75,311.25,211.25,316.875,211.25,211.25,0.0
37.0,2016,5.0,380138.57,367537.90499999997,359503.81,362288.555,258877.135,221000.95,261488.53999999998,302695.795,277422.245,202496.905,250695.03,218650.70333333334
37.0,2016,6.0,106954.19499999999,569850.585,487910.44,351239.54000000004,195644.755,57644.799999999996,52191.57,23604.535,40720.99,32946.015,231556.945,440125.25
37.0,2016,7.0,4782.385,0.0,0.0,0.0,0.0,1850.36,2747.02,522.06,3110.65,1568.55,0.0,0.0
37.0,2017,5.0,336517.77,332937.08999999997,316826.03,321207.435,264536.02,237290.755,515395.26,665973.06,299550.17000000004,393676.86,320439.85,660536.62
37.0,2017,6.0,746553.0366666666,548851.34,447155.965,351263.47500000003,233585.75,49479.659999999996,106957.97,103533.17,98025.28,79379.8,464216.9,828412.95
37.0,2017,7.0,0.0,0.0,0.0,0.0,0.0,1438.19,2637.24,2148.83,1780.54,2208.87,0.0,0.0
37.0,2018,8.0,729246.01,224973.36333333337,216856.08333333334,247686.35,187464.7166666667,60490.9775,49531.38181818181,68547.62999999999,40012.14928571428,37674.2009090909,71674.45714285715,105861.57727272726
37.0,2019,8.0,8557.957142857143,96108.02,90724.20999999999,93261.49428571427,72857.53285714285,46945.22444444444,49572.915555555555,61516.92222222223,61344.39857142857,39393.666666666664,45844.33666666667,58356.41599999999
37.0,2020,1.0,277575.37,262925.505,256727.61,289687.73000000004,426096.23,409097.19,362801.6,282751.70499999996,443540.08,183570.19,195131.27500000002,1525162.9275
37.0,2020,2.0,75398.11,80109.49,69789.85,51071.64,34464.07,0.0,9525.185,4163.11,0.0,5818.94,29879.69,244577.20500000002
37.0,2020,3.0,3186.1375,1804.2175,2360.2324999999996,2539.8250000000003,4543.885,3474.9,2111.4283333333337,2226.723333333334,4110.743333333333,1610.4933333333338,2963.5275,13372.629
37.0,2021,5.0,252657.79750000002,260564.35499999998,134912.265,186628.71333333335,235645.48,201846.955,219973.38,271535.97,445448.52,186182.605,206213.205,157571.41
37.0,2021,9.0,665998.7350000001,650093.4,523876.32499999995,369295.92000000004,240147.84,95396.485,33075.63,60136.835,57065.725,47855.270000000004,263871.115,423257.36
37.0,2021,10.0,2421.9775,2288.2274999999995,2550.85,1550.8975,4047.3875,1747.5716666666667,2515.5483333333327,4180.156666666667,6907.935,1977.7366666666667,8158.0199999999995,1308.3100000000002
38.0,2018,8.0,241722.5,89725.72333333334,80911.84666666666,104587.67333333332,89917.28666666668,43346.305,49984.126000000004,82718.81999999999,55550.198,80032.09666666666,86223.47333333333,99438.38
38.0,2019,8.0,5194.22,70487.48333333332,88541.59999999999,77323.95,79614.35666666667,77509.80666666666,68913.21666666666,85877.04666666666,55119.08,47794.026,83829.37666666666,91961.89
38.0,2020,1.0,178451.94,238824.59,242288.69,215733.41,222728.21,220800.42,163865.56,241252.55,249818.79,254043.18,213125.21,774068.4999999999
38.0,2020,3.0,7495.8,7249.924999999999,7400.705,7305.85,6446.795,6233.76,6794.8,2422.06,6166.299999999999,6886.975,6951.885,31532.494
38.0,2021,10.0,5438.014999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,2018,8.0,164684.06,75675.25,84033.15333333334,67156.03333333333,71456.40333333334,45329.848000000005,46628.32,42746.972,47334.304,45174.30400000001,78597.25,85829.82666666666
39.0,2019,8.0,3681.3233333333337,56406.18,77230.93,65114.916666666664,59346.14000000001,61663.035,47263.71,61227.14,53102.33200000001,102618.925,107558.725,148026.1
39.0,2020,1.0,106645.23,220925.58,198882.2,170905.49,190494.73,188463.07,184906.71,204552.81,248611.6,93650.99,174574.99,654700.4774999999
39.0,2020,3.0,4502.69,2897.13,6674.01,4122.46,4269.43,0.0,660.92,2173.34,2269.07,837.46,3713.94,9368.43
39.0,2021,5.0,32205.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,2021,10.0,5119.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,2016,6.0,0.0,0.0,47986.965,33767.15,17796.61,0.0,0.0,0.0,0.0,-8606.01,15940.97,33016.37
40.0,2017,6.0,41166.97,59652.35,8033.649999999999,27293.21,12072.67,1276.89,0.0,0.0,0.0,0.0,18144.66,31175.47
40.0,2018,8.0,21849.355,25434.655,20228.905,13293.07,9705.279999999999,1791.925,1889.1,1863.35,1736.07,1790.52,6393.475,9995.236666666668
40.0,2019,8.0,41168.24,27772.480000000003,19667.08,2478.0,11327.59,1423.5,1102.09,1052.84,1777.81,1737.84,265.2,17141.533333333333
40.0,2020,1.0,1336.73,5393.33,2844.03,243.90499999999997,1379.04,1037.02,1709.26,1146.21,1508.69,2666.98,2855.26,15038.965
40.0,2020,2.0,66042.94,90132.09,0.0,23151.855000000003,19730.385,0.0,0.0,0.0,0.0,0.0,21016.17,188932.08
40.0,2021,5.0,1299.615,3814.49,1022.39,241.64,2110.6,1608.11,1693.46,2451.29,958.0,1242.05,1546.61,1983.8
40.0,2021,9.0,78424.81,99983.79,86540.01,6540.203333333335,42511.96,13920.21,0.0,0.0,0.0,0.0,13118.81,53927.79
41.0,2018,8.0,0.0,65205.32750000001,54814.0125,44848.5625,21420.2825,3525.1949999999997,2826.9375,5161.0775,5258.765,4398.807500000001,22058.605,64206.895
41.0,2019,8.0,16149.323333333334,39850.74166666666,50945.0875,39416.41,24135.48,2901.1575000000003,2737.705,3246.12,2357.49,3900.23,38840.79,87051.055
41.0,2020,2.0,194583.58,169995.86,159534.58,140825.42,73946.89,0.0,0.0,0.0,0.0,0.0,82106.62,593837.015
41.0,2020,3.0,5562.05,3578.75,8244.23,5092.36,5273.92,0.0,816.41,2718.9,2838.67,1037.005,4646.23,11621.835
42.0,2018,8.0,0.0,320385.86,275265.055,218307.595,122378.935,10120.7925,9797.16,14248.83,9443.199999999999,13658.315,84323.04999999999,232057.63
42.0,2019,8.0,22932.515,295189.355,239927.005,189017.09,125028.665,13696.16,14942.995,14177.06,10190.72,8257.873333333333,109121.34000000001,226471.91999999998
42.0,2020,2.0,598938.84,584214.83,489918.02,361868.54,247114.23,0.0,0.0,13319.33,25707.11,21684.51,27081.61,690537.2600000001
42.0,2020,3.0,4435.43,3779.61,4673.71,4307.95,1326.18,1540.08,2438.46,1668.05,3292.2,3544.6,3323.81,19625.41
43.0,2018,8.0,19054.64,35987.94,29434.555,29693.98,24119.995,23401.28,19326.805,26928.74,28971.62,16400.445,17394.98,27410.496666666662
43.0,2019,8.0,6696.68,25646.05,19352.23,17428.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.005,0.0,3548.01
44.0,2016,5.0,354436.99500000005,0.0,330440.07499999995,0.0,298246.95499999996,189052.96333333338,256225.06399999995,0.0,365711.73000000004,358426.96,342097.13,304892.74199999997
44.0,2017,5.0,0.0,431750.07,356384.03250000003,0.0,357310.165,312093.265,729774.32,-135.66,-235599.24714285717,149378.005,-83.38,338880.865
44.0,2018,8.0,155359.1,122595.925,125725.33250000002,100074.4025,92373.5475,38660.92142857143,60681.76333333333,185150.815,105268.72,78072.938,110653.69,67377.36846153847
44.0,2019,8.0,145501.77,179366.25,156589.7325,108847.54,129788.9275,77585.715,87808.5175,102007.8775,82805.94200000001,99340.225,48156.852222222224,45029.52666666667
44.0,2020,1.0,433434.88,405565.04,460678.04,334699.84,301056.4,329391.94,289498.91,394175.84,108084.78333333333,175369.11000000002,180198.41,2383212.825
44.0,2020,3.0,0.0,5806.66,10107.885,10824.765,6608.780000000001,8061.265,13580.689999999999,10178.81,10704.305,5369.44,12220.955,58857.920000000006
44.0,2020,4.0,167874.48,135648.17,115899.5,103919.5,51548.37,21168.33,2888.52,2478.56,2670.42,17864.52,64370.12,441154.81500000006
44.0,2021,5.0,236640.95750000002,458912.69,419676.88,401313.46,368233.81,171592.42500000002,334654.02,383638.3,423448.35,414024.7,415929.69,205685.685
44.0,2021,10.0,2817.3475,10597.01,9664.48,9972.415,0.0,4332.53,15750.07,11265.66,9339.36,12141.27,8668.42,5593.326666666668
45.0,2016,6.0,0.0,142427.17,99261.61,0.0,55229.95,40802.82,0.0,0.0,8260.97,59921.86,98374.34,126892.04
45.0,2016,7.0,0.0,265.39,146.555,0.0,169.09,161.9475,261.145,245.08,320.85,329.28999999999996,251.615,178.7
45.0,2017,6.0,0.0,145748.21,98744.405,55748.69,36340.27,0.0,0.0,0.0,-18602.83,20568.21,68178.12,125621.64
45.0,2017,7.0,0.0,330.11,381.91600000000005,140.965,149.29500000000002,1024.14,199.35500000000002,165.055,68.72857142857143,168.875,96.21000000000001,202.358
45.0,2018,8.0,43425.1,48457.93333333334,32518.701999999997,31185.589999999997,24754.072500000002,12111.782,6769.163333333334,8850.773333333333,6853.424999999999,12262.925,20422.920000000002,28700.553999999996
45.0,2019,8.0,46511.112499999996,52190.715000000004,36140.444,32532.215,29725.07,13971.576000000001,9698.866666666667,9482.036666666667,7632.887500000001,22395.769999999997,36823.64750000001,52259.134
45.0,2020,1.0,57374.19,52634.5,54725.02,42755.4,34332.68,28547.6,25778.11,28024.44,32291.15,32001.73,35827.46,267493.27999999997
45.0,2020,2.0,273233.6,220320.14,241297.52,152972.97,126209.98,76219.65,0.0,0.0,0.0,17068.01,85428.49,752647.56
45.0,2020,3.0,351.65999999999997,394.08000000000004,1039.4566666666667,376.49,363.5,909.5100000000001,533.235,374.20000000000005,951.37,346.6,329.535,4086.654
46.0,2016,5.0,883.98,0.0,0.0,1205.2649999999999,667.68,345.825,667.68,386.955,343.04499999999996,163.43,1425.51,7.99
46.0,2016,6.0,21650.08,22790.83,0.0,19348.45,9728.96,2374.38,0.0,0.0,0.0,0.0,3147.88,3233.8300000000004
46.0,2017,6.0,9969.95,10817.6,9583.81,5913.82,4765.37,87.01,0.0,0.0,0.0,1619.09,4985.3,10296.75
46.0,2018,8.0,12754.78,11878.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
