,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
6.0,2017,7.0,0.0,166.695,192.19,156.895,187.29250000000002,0.0,170.62,158.855,131.73,200.73,251.96499999999997,0.0
6.0,2018,8.0,7405.74,7602.305,8277.619999999999,7948.32,6853.0275,5235.8825,4834.595,4205.1325,3833.4125,5424.21,4293.7675,4364.7075
6.0,2019,8.0,5417.8625,0.0,7261.293749999999,6307.8724999999995,5966.375,5214.5175,3957.4525,3918.46,4112.575,4306.715,4373.697499999999,5341.68
6.0,2020,1.0,0.0,16606.07,16803.06,16141.8,15957.47,12240.29,14191.72,10526.29,12744.1,12781.64,12450.06,87131.01000000001
6.0,2020,2.0,0.0,5704.65,6780.79,7279.18,6090.54,4376.54,266.88,116.6,121.39,0.0,0.0,15634.415
6.0,2020,3.0,0.0,311.69,263.74,239.76000000000002,239.76000000000002,263.735,143.85500000000002,119.88000000000001,152.495,355.825,177.91,1235.99
6.0,2021,5.0,15083.945,0.0,13612.06,12520.01,0.0,13320.78,12972.665,11452.73,11846.62,11751.87,12919.31,12792.18
6.0,2021,9.0,5372.51,0.0,11119.38,11709.5,0.0,6139.44,1869.185,0.0,0.0,0.0,0.0,811.95
6.0,2021,10.0,143.95,0.0,101.66,152.49,0.0,228.735,231.27749999999997,249.065,319.26,212.84,292.65500000000003,186.235
7.0,2018,8.0,17313.545,0.0,20135.4125,20543.6825,16345.144999999997,10963.123333333331,12250.223333333335,13297.359999999999,0.0,13267.824999999999,12440.563333333334,14879.007500000002
7.0,2019,8.0,0.0,18364.7125,0.0,17889.25625,17131.8925,8813.7075,13146.196666666665,10915.35,20096.18333333333,16421.31666666667,13596.36,12460.36
7.0,2020,1.0,42173.33,31780.64,0.0,34330.455,24111.4,20816.83,25249.57,31277.49,37093.41,35214.4,0.0,139298.93333333332
